id,temp,lvl,time,sex,rep,prod,dead,t_coma
36-250-M-4,36,250,172.4211776,M,4,0,1,72.3
36-250-M-5,36,250,172.4211776,M,5,0,1,76.86
36-250-M-6,36,250,172.4211776,M,6,0,1,68.52
36-250-M-7,36,250,172.4211776,M,7,0,1,92.74
36-250-M-8,36,250,172.4211776,M,8,0,1,131.43
36-250-M-9,36,250,172.4211776,M,9,0,1,78.13
36-250-M-10,36,250,172.4211776,M,10,0,1,77.88
36-250-M-11,36,250,172.4211776,M,11,0,1,117.32
36-250-M-12,36,250,172.4211776,M,12,0,1,128.18
36-250-M-13,36,250,172.4211776,M,13,0,0,129.39
36-250-M-14,36,250,172.4211776,M,14,0,1,100.27
36-250-M-15,36,250,172.4211776,M,15,0,1,104.16
36-200-M-1,36,200,137.9369421,M,1,0,1,92
36-200-M-2,36,200,137.9369421,M,2,1.74,1,92
36-200-M-3,36,200,137.9369421,M,3,0,1,61.5
36-200-M-4,36,200,137.9369421,M,4,4.72,0,92.83
36-200-M-5,36,200,137.9369421,M,5,2.26,0,131
36-200-M-6,36,200,137.9369421,M,6,0,1,132
36-200-M-7,36,200,137.9369421,M,7,0,1,111
36-200-M-8,36,200,137.9369421,M,8,0,0,100
36-200-M-9,36,200,137.9369421,M,9,0.92,0,110.22
36-200-M-10,36,200,137.9369421,M,10,0.31,1,110.22
36-200-M-11,36,200,137.9369421,M,11,0.62,1,110.22
36-200-M-12,36,200,137.9369421,M,12,1.85,1,110.22
36-200-M-13,36,200,137.9369421,M,13,0,0,110.22
36-200-M-14,36,200,137.9369421,M,14,0,1,110.22
36-200-M-15,36,200,137.9369421,M,15,0,1,28.42
36-175-M-1,36,175,120.6948244,M,1,0,1,
36-175-M-2,36,175,120.6948244,M,2,1.23,1,85
36-175-M-3,36,175,120.6948244,M,3,1.54,1,
36-175-M-4,36,175,120.6948244,M,4,0,0,109
36-175-M-5,36,175,120.6948244,M,5,0,0,110
36-175-M-6,36,175,120.6948244,M,6,0,1,
36-175-M-7,36,175,120.6948244,M,7,0,1,116
36-175-M-8,36,175,120.6948244,M,8,0.82,0,82
36-175-M-9,36,175,120.6948244,M,9,0.31,1,82
36-175-M-10,36,175,120.6948244,M,10,0,1,27.42
36-175-M-11,36,175,120.6948244,M,11,0.92,0,
36-175-M-12,36,175,120.6948244,M,12,0,1,107.22
36-175-M-13,36,175,120.6948244,M,13,1.03,1,107.22
36-175-M-14,36,175,120.6948244,M,14,0,1,80.27
36-175-M-15,36,175,120.6948244,M,15,0,0,117.05
36-150-M-1,36,150,103.4527066,M,1,0,1,93.5
36-150-M-2,36,150,103.4527066,M,2,0,0,76.4
36-150-M-3,36,150,103.4527066,M,3,0,0,93.97
36-150-M-4,36,150,103.4527066,M,4,0,1,34.2
36-150-M-5,36,150,103.4527066,M,5,0.51,0,89.87
36-150-M-6,36,150,103.4527066,M,6,1.85,0,89.87
36-150-M-7,36,150,103.4527066,M,7,0.41,1,51.92
36-150-M-8,36,150,103.4527066,M,8,0.72,1,83.83
36-150-M-9,36,150,103.4527066,M,9,0,1,62.22
36-150-M-10,36,150,103.4527066,M,10,0,0,86.22
36-150-M-11,36,150,103.4527066,M,11,1.44,0,86.22
36-150-M-12,36,150,103.4527066,M,12,1.23,0,86.22
36-150-M-13,36,150,103.4527066,M,13,0,0,86.22
36-150-M-14,36,150,103.4527066,M,14,1.54,0,86.22
36-150-M-15,36,150,103.4527066,M,15,0,1,78.38
36-125-M-1,36,125,86.21058882,M,1,0.62,0,70.17
36-125-M-2,36,125,86.21058882,M,2,0.82,0,70.17
36-125-M-3,36,125,86.21058882,M,3,0.21,0,70.73
36-125-M-4,36,125,86.21058882,M,4,1.64,0,84.88
36-125-M-5,36,125,86.21058882,M,5,0,1,84.88
36-125-M-6,36,125,86.21058882,M,6,1.54,0,84.88
36-125-M-7,36,125,86.21058882,M,7,0,1,65.22
36-125-M-8,36,125,86.21058882,M,8,2.36,0,
36-125-M-9,36,125,86.21058882,M,9,0,1,43.63
36-125-M-10,36,125,86.21058882,M,10,0,0,
36-125-M-11,36,125,86.21058882,M,11,0.31,1,38.6
36-125-M-12,36,125,86.21058882,M,12,0,0,75.72
36-125-M-13,36,125,86.21058882,M,13,0.92,0,
36-125-M-14,36,125,86.21058882,M,14,0,1,44.13
36-125-M-15,36,125,86.21058882,M,15,0.31,0,
36-100-M-1,36,100,68.96847106,M,1,0,0,
36-100-M-2,36,100,68.96847106,M,2,8.62,0,
36-100-M-3,36,100,68.96847106,M,3,1.03,0,
36-100-M-4,36,100,68.96847106,M,4,3.38,0,
36-100-M-5,36,100,68.96847106,M,5,2.67,1,
36-100-M-6,36,100,68.96847106,M,6,0,1,17.88
36-100-M-7,36,100,68.96847106,M,7,0.21,0,
36-100-M-8,36,100,68.96847106,M,8,0,1,
36-100-M-9,36,100,68.96847106,M,9,0,0,
36-100-M-10,36,100,68.96847106,M,10,0,1,
36-100-M-11,36,100,68.96847106,M,11,0,0,
36-100-M-12,36,100,68.96847106,M,12,3.49,0,
36-100-M-13,36,100,68.96847106,M,13,0,1,
36-100-M-14,36,100,68.96847106,M,14,0.62,0,
36-100-M-15,36,100,68.96847106,M,15,1.33,0,
36-75-M-1,36,75,51.72635329,M,1,3.69,0,
36-75-M-2,36,75,51.72635329,M,2,0.82,1,
36-75-M-3,36,75,51.72635329,M,3,0.92,0,
36-75-M-4,36,75,51.72635329,M,4,0.72,0,
36-75-M-5,36,75,51.72635329,M,5,0,1,
36-75-M-6,36,75,51.72635329,M,6,2.87,0,
36-75-M-7,36,75,51.72635329,M,7,2.87,0,
36-75-M-8,36,75,51.72635329,M,8,0.31,0,
36-75-M-9,36,75,51.72635329,M,9,0.62,0,
36-75-M-10,36,75,51.72635329,M,10,1.13,0,
36-75-M-11,36,75,51.72635329,M,11,0,0,
36-75-M-12,36,75,51.72635329,M,12,0,1,50.33
36-75-M-13,36,75,51.72635329,M,13,0,1,47.17
36-75-M-14,36,75,51.72635329,M,14,1.03,0,
36-75-M-15,36,75,51.72635329,M,15,0,0,
36-50-M-1,36,50,34.48423553,M,1,1.85,0,
36-50-M-2,36,50,34.48423553,M,2,0.82,0,
36-50-M-3,36,50,34.48423553,M,3,0,1,
36-50-M-4,36,50,34.48423553,M,4,3.38,0,
36-50-M-5,36,50,34.48423553,M,5,0,1,
36-50-M-6,36,50,34.48423553,M,6,1.54,0,
36-50-M-7,36,50,34.48423553,M,7,1.95,0,
36-50-M-8,36,50,34.48423553,M,8,0,0,
36-50-M-9,36,50,34.48423553,M,9,0.82,0,
36-50-M-10,36,50,34.48423553,M,10,2.87,0,
36-50-M-11,36,50,34.48423553,M,11,0.1,0,
36-50-M-12,36,50,34.48423553,M,12,0,0,32.83
36-50-M-13,36,50,34.48423553,M,13,0,1,
36-50-M-14,36,50,34.48423553,M,14,0.82,0,
36-50-M-15,36,50,34.48423553,M,15,0.62,0,
36-25-M-1,36,25,17.24211776,M,1,0.41,1,
36-25-M-2,36,25,17.24211776,M,2,5.23,0,
36-25-M-3,36,25,17.24211776,M,3,0,0,
36-25-M-4,36,25,17.24211776,M,4,0.41,0,
36-25-M-5,36,25,17.24211776,M,5,3.08,0,
36-25-M-6,36,25,17.24211776,M,6,6.97,0,
36-25-M-7,36,25,17.24211776,M,7,1.74,0,
36-25-M-8,36,25,17.24211776,M,8,2.46,0,
36-25-M-9,36,25,17.24211776,M,9,0,1,
36-25-M-10,36,25,17.24211776,M,10,0,1,
36-25-M-11,36,25,17.24211776,M,11,3.49,1,
36-25-M-12,36,25,17.24211776,M,12,1.23,0,
36-25-M-13,36,25,17.24211776,M,13,2.46,0,
36-25-M-14,36,25,17.24211776,M,14,2.97,0,
36-25-M-15,36,25,17.24211776,M,15,2.77,0,
35-300-M-1,35,300,513,M,1,0,1,132.06
35-300-M-2,35,300,513,M,2,0,1,298.61
35-300-M-3,35,300,513,M,3,0,1,251.26
35-300-M-4,35,300,513,M,4,0,1,209.46
35-300-M-5,35,300,513,M,5,0,1,186.22
35-300-M-6,35,300,513,M,6,0,1,221.32
35-300-M-7,35,300,513,M,7,0,1,285.73
35-300-M-8,35,300,513,M,8,0,1,201.91
